# r-coordinate 	 ur 	 utheta
1.00000e+02 	 0.00000e+00 	 0.00000e+00
1.00628e+02 	 -5.45352e-04 	 1.21614e-06
1.01261e+02 	 -1.06027e-03 	 2.39404e-06
1.01897e+02 	 -1.54634e-03 	 3.53806e-06
1.02537e+02 	 -2.00517e-03 	 4.65236e-06
1.03181e+02 	 -2.43828e-03 	 5.74093e-06
1.03830e+02 	 -2.84704e-03 	 6.80765e-06
1.04482e+02 	 -3.23268e-03 	 7.85627e-06
1.05138e+02 	 -3.59626e-03 	 8.89048e-06
1.05799e+02 	 -3.93870e-03 	 9.91386e-06
1.06464e+02 	 -4.26074e-03 	 1.09300e-05
1.07133e+02 	 -4.56301e-03 	 1.19423e-05
1.07806e+02 	 -4.84598e-03 	 1.29543e-05
1.08483e+02 	 -5.10999e-03 	 1.39695e-05
1.09165e+02 	 -5.35524e-03 	 1.49912e-05
1.09851e+02 	 -5.58179e-03 	 1.60231e-05
1.10541e+02 	 -5.78957e-03 	 1.70685e-05
1.11236e+02 	 -5.97837e-03 	 1.81310e-05
1.11934e+02 	 -6.14783e-03 	 1.92141e-05
1.12638e+02 	 -6.29746e-03 	 2.03214e-05
1.13346e+02 	 -6.42661e-03 	 2.14565e-05
1.14058e+02 	 -6.53447e-03 	 2.26230e-05
1.14774e+02 	 -6.62005e-03 	 2.38248e-05
1.15495e+02 	 -6.68219e-03 	 2.50653e-05
1.16221e+02 	 -6.71955e-03 	 2.63483e-05
1.16951e+02 	 -6.73054e-03 	 2.76773e-05
1.17686e+02 	 -6.71336e-03 	 2.90557e-05
1.18426e+02 	 -6.66596e-03 	 3.04866e-05
1.19170e+02 	 -6.58599e-03 	 3.19724e-05
1.19919e+02 	 -6.47076e-03 	 3.35147e-05
1.20672e+02 	 -6.31721e-03 	 3.51139e-05
1.21430e+02 	 -6.12184e-03 	 3.67677e-05
1.22193e+02 	 -5.88060e-03 	 3.84702e-05
1.22961e+02 	 -5.58879e-03 	 4.02090e-05
1.23734e+02 	 -5.24088e-03 	 4.19608e-05
1.24511e+02 	 -4.83028e-03 	 4.36833e-05
1.25293e+02 	 -4.34904e-03 	 4.52989e-05
1.26081e+02 	 -3.78768e-03 	 4.66655e-05
1.26873e+02 	 -3.13544e-03 	 4.75165e-05
1.27670e+02 	 -2.38268e-03 	 4.73461e-05
1.28472e+02 	 -1.53013e-03 	 4.52025e-05
