# r-coordinate 	 ur 	 utheta
1.00000e+02 	 0.00000e+00 	 0.00000e+00
1.00628e+02 	 4.51652e-04 	 6.35360e-07
1.01261e+02 	 8.70003e-04 	 1.21939e-06
1.01897e+02 	 1.25466e-03 	 1.76049e-06
1.02537e+02 	 1.60512e-03 	 2.26593e-06
1.03181e+02 	 1.92077e-03 	 2.74198e-06
1.03830e+02 	 2.20091e-03 	 3.19410e-06
1.04482e+02 	 2.44470e-03 	 3.62703e-06
1.05138e+02 	 2.65115e-03 	 4.04490e-06
1.05799e+02 	 2.81912e-03 	 4.45133e-06
1.06464e+02 	 2.94725e-03 	 4.84943e-06
1.07133e+02 	 3.03399e-03 	 5.24183e-06
1.07806e+02 	 3.07749e-03 	 5.63068e-06
1.08483e+02 	 3.07564e-03 	 6.01759e-06
1.09165e+02 	 3.02593e-03 	 6.40345e-06
1.09851e+02 	 2.92546e-03 	 6.78821e-06
1.10541e+02 	 2.77076e-03 	 7.17045e-06
1.11236e+02 	 2.55776e-03 	 7.54655e-06
1.11934e+02 	 2.28154e-03 	 7.90935e-06
1.12638e+02 	 1.93619e-03 	 8.24559e-06
1.13346e+02 	 1.51476e-03 	 8.53134e-06
1.14058e+02 	 1.00955e-03 	 8.72340e-06
1.14774e+02 	 4.13915e-04 	 8.74386e-06
1.15495e+02 	 -2.71830e-04 	 8.45381e-06
1.16221e+02 	 -1.02420e-03 	 7.61884e-06
1.16951e+02 	 -1.76116e-03 	 5.90286e-06
1.17686e+02 	 -2.29823e-03 	 3.02656e-06
1.18426e+02 	 -2.39024e-03 	 -7.57793e-07
1.19170e+02 	 -1.94182e-03 	 -4.43609e-06
1.19919e+02 	 -1.11585e-03 	 -7.13182e-06
1.20672e+02 	 -1.55094e-04 	 -8.74952e-06
1.21430e+02 	 7.89383e-04 	 -9.58682e-06
1.22193e+02 	 1.65873e-03 	 -9.94374e-06
1.22961e+02 	 2.43979e-03 	 -1.00220e-05
1.23734e+02 	 3.13593e-03 	 -9.94084e-06
1.24511e+02 	 3.75487e-03 	 -9.76845e-06
1.25293e+02 	 4.30449e-03 	 -9.54368e-06
1.26081e+02 	 4.79182e-03 	 -9.28917e-06
1.26873e+02 	 5.22287e-03 	 -9.01845e-06
1.27670e+02 	 5.60280e-03 	 -8.73984e-06
1.28472e+02 	 5.93613e-03 	 -8.45858e-06
1.29279e+02 	 6.22682e-03 	 -8.17806e-06
1.30092e+02 	 6.47844e-03 	 -7.90052e-06
1.30909e+02 	 6.69422e-03 	 -7.62744e-06
1.31731e+02 	 6.87710e-03 	 -7.35983e-06
1.32559e+02 	 7.02979e-03 	 -7.09835e-06
1.33392e+02 	 7.15477e-03 	 -6.84343e-06
1.34230e+02 	 7.25435e-03 	 -6.59537e-06
1.35074e+02 	 7.33067e-03 	 -6.35431e-06
1.35922e+02 	 7.38572e-03 	 -6.12034e-06
1.36776e+02 	 7.42133e-03 	 -5.89348e-06
1.37636e+02 	 7.43922e-03 	 -5.67369e-06
1.38500e+02 	 7.44099e-03 	 -5.46092e-06
1.39371e+02 	 7.42811e-03 	 -5.25507e-06
1.40246e+02 	 7.40197e-03 	 -5.05603e-06
1.41128e+02 	 7.36386e-03 	 -4.86368e-06
1.42014e+02 	 7.31495e-03 	 -4.67787e-06
1.42907e+02 	 7.25635e-03 	 -4.49848e-06
1.43805e+02 	 7.18910e-03 	 -4.32533e-06
1.44708e+02 	 7.11414e-03 	 -4.15829e-06
1.45617e+02 	 7.03235e-03 	 -3.99718e-06
1.46532e+02 	 6.94454e-03 	 -3.84186e-06
1.47453e+02 	 6.85147e-03 	 -3.69215e-06
