# r-coordinate 	 ur 	 utheta
1.00000e+02 	 0.00000e+00 	 0.00000e+00
1.00628e+02 	 4.71031e-04 	 -1.47368e-05
1.01261e+02 	 9.10243e-04 	 -2.84667e-05
1.01897e+02 	 1.31781e-03 	 -4.13383e-05
1.02537e+02 	 1.69391e-03 	 -5.34831e-05
1.03181e+02 	 2.03861e-03 	 -6.50182e-05
1.03830e+02 	 2.35183e-03 	 -7.60486e-05
1.04482e+02 	 2.63330e-03 	 -8.66683e-05
1.05138e+02 	 2.88256e-03 	 -9.69620e-05
1.05799e+02 	 3.09898e-03 	 -1.07006e-04
1.06464e+02 	 3.28169e-03 	 -1.16871e-04
1.07133e+02 	 3.42963e-03 	 -1.26617e-04
1.07806e+02 	 3.54152e-03 	 -1.36302e-04
1.08483e+02 	 3.61581e-03 	 -1.45974e-04
1.09165e+02 	 3.65069e-03 	 -1.55674e-04
1.09851e+02 	 3.64405e-03 	 -1.65433e-04
1.10541e+02 	 3.59344e-03 	 -1.75270e-04
1.11236e+02 	 3.49599e-03 	 -1.85187e-04
1.11934e+02 	 3.34834e-03 	 -1.95155e-04
1.12638e+02 	 3.14656e-03 	 -2.05108e-04
1.13346e+02 	 2.88597e-03 	 -2.14904e-04
1.14058e+02 	 2.56097e-03 	 -2.24286e-04
1.14774e+02 	 2.16488e-03 	 -2.32789e-04
1.15495e+02 	 1.68987e-03 	 -2.39573e-04
1.16221e+02 	 1.12769e-03 	 -2.43117e-04
1.16951e+02 	 4.72490e-04 	 -2.40659e-04
1.17686e+02 	 -2.70050e-04 	 -2.27297e-04
1.18426e+02 	 -1.05895e-03 	 -1.95005e-04
1.19170e+02 	 -1.77188e-03 	 -1.33560e-04
1.19919e+02 	 -2.17398e-03 	 -3.88096e-05
1.20672e+02 	 -2.04029e-03 	 7.18578e-05
1.21430e+02 	 -1.38955e-03 	 1.66038e-04
1.22193e+02 	 -4.62341e-04 	 2.28074e-04
1.22961e+02 	 5.19059e-04 	 2.62430e-04
1.23734e+02 	 1.44639e-03 	 2.78714e-04
1.24511e+02 	 2.28599e-03 	 2.84385e-04
1.25293e+02 	 3.03495e-03 	 2.84030e-04
1.26081e+02 	 3.69994e-03 	 2.80268e-04
1.26873e+02 	 4.28931e-03 	 2.74572e-04
1.27670e+02 	 4.81081e-03 	 2.67783e-04
1.28472e+02 	 5.27111e-03 	 2.60391e-04
1.29279e+02 	 5.67594e-03 	 2.52693e-04
1.30092e+02 	 6.03020e-03 	 2.44868e-04
1.30909e+02 	 6.33823e-03 	 2.37033e-04
1.31731e+02 	 6.60386e-03 	 2.29262e-04
1.32559e+02 	 6.83056e-03 	 2.21603e-04
1.33392e+02 	 7.02150e-03 	 2.14089e-04
1.34230e+02 	 7.17956e-03 	 2.06740e-04
1.35074e+02 	 7.30741e-03 	 1.99571e-04
1.35922e+02 	 7.40752e-03 	 1.92589e-04
1.36776e+02 	 7.48218e-03 	 1.85799e-04
1.37636e+02 	 7.53352e-03 	 1.79205e-04
1.38500e+02 	 7.56351e-03 	 1.72805e-04
1.39371e+02 	 7.57402e-03 	 1.66600e-04
1.40246e+02 	 7.56676e-03 	 1.60588e-04
1.41128e+02 	 7.54333e-03 	 1.54765e-04
1.42014e+02 	 7.50523e-03 	 1.49129e-04
1.42907e+02 	 7.45385e-03 	 1.43675e-04
1.43805e+02 	 7.39051e-03 	 1.38402e-04
1.44708e+02 	 7.31641e-03 	 1.33303e-04
1.45617e+02 	 7.23267e-03 	 1.28376e-04
1.46532e+02 	 7.14035e-03 	 1.23616e-04
1.47453e+02 	 7.04042e-03 	 1.19018e-04
1.48379e+02 	 6.93379e-03 	 1.14579e-04
1.49312e+02 	 6.82131e-03 	 1.10293e-04
1.50250e+02 	 6.70374e-03 	 1.06158e-04
1.51194e+02 	 6.58182e-03 	 1.02168e-04
1.52144e+02 	 6.45621e-03 	 9.83191e-05
1.53100e+02 	 6.32754e-03 	 9.46075e-05
1.54062e+02 	 6.19636e-03 	 9.10291e-05
1.55030e+02 	 6.06320e-03 	 8.75798e-05
1.56004e+02 	 5.92855e-03 	 8.42557e-05
1.56984e+02 	 5.79285e-03 	 8.10528e-05
1.57970e+02 	 5.65651e-03 	 7.79675e-05
1.58963e+02 	 5.51989e-03 	 7.49960e-05
1.59962e+02 	 5.38334e-03 	 7.21347e-05
1.60967e+02 	 5.24716e-03 	 6.93801e-05
1.61978e+02 	 5.11164e-03 	 6.67287e-05
1.62996e+02 	 4.97702e-03 	 6.41771e-05
1.64020e+02 	 4.84354e-03 	 6.17221e-05
1.65051e+02 	 4.71140e-03 	 5.93605e-05
1.66088e+02 	 4.58078e-03 	 5.70891e-05
1.67131e+02 	 4.45185e-03 	 5.49048e-05
1.68181e+02 	 4.32475e-03 	 5.28048e-05
1.69238e+02 	 4.19961e-03 	 5.07861e-05
1.70301e+02 	 4.07653e-03 	 4.88459e-05
1.71371e+02 	 3.95563e-03 	 4.69815e-05
1.72448e+02 	 3.83697e-03 	 4.51903e-05
1.73532e+02 	 3.72062e-03 	 4.34697e-05
1.74622e+02 	 3.60665e-03 	 4.18171e-05
1.75719e+02 	 3.49510e-03 	 4.02301e-05
1.76823e+02 	 3.38601e-03 	 3.87064e-05
1.77934e+02 	 3.27940e-03 	 3.72437e-05
1.79052e+02 	 3.17530e-03 	 3.58397e-05
1.80177e+02 	 3.07371e-03 	 3.44924e-05
1.81309e+02 	 2.97463e-03 	 3.31995e-05
1.82449e+02 	 2.87807e-03 	 3.19591e-05
1.83595e+02 	 2.78402e-03 	 3.07693e-05
1.84749e+02 	 2.69245e-03 	 2.96280e-05
1.85909e+02 	 2.60337e-03 	 2.85335e-05
1.87078e+02 	 2.51673e-03 	 2.74840e-05
1.88253e+02 	 2.43252e-03 	 2.64778e-05
1.89436e+02 	 2.35070e-03 	 2.55131e-05
1.90626e+02 	 2.27124e-03 	 2.45884e-05
1.91824e+02 	 2.19411e-03 	 2.37021e-05
1.93029e+02 	 2.11926e-03 	 2.28527e-05
1.94242e+02 	 2.04666e-03 	 2.20387e-05
1.95462e+02 	 1.97626e-03 	 2.12588e-05
1.96690e+02 	 1.90803e-03 	 2.05115e-05
1.97926e+02 	 1.84191e-03 	 1.97955e-05
1.99170e+02 	 1.77786e-03 	 1.91096e-05
2.00421e+02 	 1.71584e-03 	 1.84525e-05
2.01681e+02 	 1.65579e-03 	 1.78231e-05
2.02948e+02 	 1.59767e-03 	 1.72202e-05
2.04223e+02 	 1.54144e-03 	 1.66427e-05
2.05506e+02 	 1.48704e-03 	 1.60896e-05
2.06797e+02 	 1.43442e-03 	 1.55597e-05
2.08097e+02 	 1.38355e-03 	 1.50523e-05
2.09404e+02 	 1.33436e-03 	 1.45662e-05
2.10720e+02 	 1.28682e-03 	 1.41005e-05
2.12044e+02 	 1.24088e-03 	 1.36545e-05
2.13376e+02 	 1.19649e-03 	 1.32272e-05
2.14717e+02 	 1.15361e-03 	 1.28179e-05
2.16066e+02 	 1.11219e-03 	 1.24257e-05
2.17424e+02 	 1.07219e-03 	 1.20499e-05
2.18790e+02 	 1.03356e-03 	 1.16898e-05
2.20164e+02 	 9.96271e-04 	 1.13446e-05
2.21548e+02 	 9.60268e-04 	 1.10138e-05
2.22940e+02 	 9.25516e-04 	 1.06966e-05
2.24341e+02 	 8.91976e-04 	 1.03925e-05
2.25750e+02 	 8.59607e-04 	 1.01008e-05
2.27169e+02 	 8.28372e-04 	 9.82107e-06
2.28596e+02 	 7.98235e-04 	 9.55265e-06
2.30032e+02 	 7.69159e-04 	 9.29505e-06
2.31478e+02 	 7.41110e-04 	 9.04777e-06
2.32932e+02 	 7.14052e-04 	 8.81034e-06
2.34396e+02 	 6.87954e-04 	 8.58230e-06
2.35868e+02 	 6.62783e-04 	 8.36321e-06
2.37350e+02 	 6.38508e-04 	 8.15264e-06
2.38842e+02 	 6.15097e-04 	 7.95019e-06
2.40342e+02 	 5.92523e-04 	 7.75549e-06
2.41852e+02 	 5.70757e-04 	 7.56816e-06
2.43372e+02 	 5.49770e-04 	 7.38784e-06
2.44901e+02 	 5.29537e-04 	 7.21421e-06
2.46440e+02 	 5.10031e-04 	 7.04693e-06
2.47988e+02 	 4.91227e-04 	 6.88571e-06
2.49547e+02 	 4.73101e-04 	 6.73025e-06
2.51114e+02 	 4.55630e-04 	 6.58027e-06
2.52692e+02 	 4.38791e-04 	 6.43550e-06
2.54280e+02 	 4.22563e-04 	 6.29569e-06
2.55878e+02 	 4.06923e-04 	 6.16060e-06
2.57485e+02 	 3.91852e-04 	 6.02999e-06
2.59103e+02 	 3.77330e-04 	 5.90365e-06
2.60731e+02 	 3.63338e-04 	 5.78136e-06
2.62369e+02 	 3.49857e-04 	 5.66293e-06
2.64018e+02 	 3.36871e-04 	 5.54816e-06
2.65677e+02 	 3.24361e-04 	 5.43688e-06
2.67346e+02 	 3.12311e-04 	 5.32891e-06
2.69026e+02 	 3.00705e-04 	 5.22410e-06
2.70716e+02 	 2.89528e-04 	 5.12228e-06
2.72417e+02 	 2.78765e-04 	 5.02331e-06
2.74129e+02 	 2.68402e-04 	 4.92705e-06
2.75851e+02 	 2.58424e-04 	 4.83337e-06
2.77584e+02 	 2.48818e-04 	 4.74214e-06
2.79329e+02 	 2.39572e-04 	 4.65325e-06
2.81084e+02 	 2.30673e-04 	 4.56658e-06
2.82850e+02 	 2.22109e-04 	 4.48203e-06
2.84627e+02 	 2.13868e-04 	 4.39949e-06
2.86415e+02 	 2.05939e-04 	 4.31888e-06
2.88215e+02 	 1.98311e-04 	 4.24010e-06
2.90026e+02 	 1.90974e-04 	 4.16307e-06
2.91848e+02 	 1.83917e-04 	 4.08771e-06
2.93682e+02 	 1.77131e-04 	 4.01394e-06
2.95527e+02 	 1.70606e-04 	 3.94170e-06
2.97384e+02 	 1.64333e-04 	 3.87091e-06
2.99252e+02 	 1.58303e-04 	 3.80152e-06
3.01133e+02 	 1.52508e-04 	 3.73347e-06
3.03025e+02 	 1.46939e-04 	 3.66669e-06
3.04929e+02 	 1.41588e-04 	 3.60115e-06
3.06845e+02 	 1.36448e-04 	 3.53679e-06
3.08773e+02 	 1.31510e-04 	 3.47356e-06
3.10713e+02 	 1.26768e-04 	 3.41143e-06
3.12665e+02 	 1.22214e-04 	 3.35035e-06
3.14630e+02 	 1.17842e-04 	 3.29028e-06
3.16606e+02 	 1.13645e-04 	 3.23120e-06
3.18596e+02 	 1.09616e-04 	 3.17307e-06
