# r-coordinate 	 ur 	 utheta
1.00000e+02 	 0.00000e+00 	 0.00000e+00
1.00628e+02 	 -5.36330e-04 	 9.78613e-06
1.01261e+02 	 -1.04071e-03 	 1.90373e-05
1.01897e+02 	 -1.51440e-03 	 2.78270e-05
1.02537e+02 	 -1.95842e-03 	 3.62221e-05
1.03181e+02 	 -2.37360e-03 	 4.42836e-05
1.03830e+02 	 -2.76059e-03 	 5.20672e-05
1.04482e+02 	 -3.11990e-03 	 5.96241e-05
1.05138e+02 	 -3.45188e-03 	 6.70017e-05
1.05799e+02 	 -3.75675e-03 	 7.42439e-05
1.06464e+02 	 -4.03455e-03 	 8.13916e-05
1.07133e+02 	 -4.28520e-03 	 8.84834e-05
1.07806e+02 	 -4.50844e-03 	 9.55551e-05
1.08483e+02 	 -4.70385e-03 	 1.02641e-04
1.09165e+02 	 -4.87084e-03 	 1.09773e-04
1.09851e+02 	 -5.00864e-03 	 1.16982e-04
1.10541e+02 	 -5.11628e-03 	 1.24296e-04
1.11236e+02 	 -5.19259e-03 	 1.31741e-04
1.11934e+02 	 -5.23615e-03 	 1.39343e-04
1.12638e+02 	 -5.24530e-03 	 1.47121e-04
1.13346e+02 	 -5.21811e-03 	 1.55093e-04
1.14058e+02 	 -5.15231e-03 	 1.63269e-04
1.14774e+02 	 -5.04528e-03 	 1.71653e-04
1.15495e+02 	 -4.89397e-03 	 1.80232e-04
1.16221e+02 	 -4.69481e-03 	 1.88974e-04
1.16951e+02 	 -4.44362e-03 	 1.97812e-04
1.17686e+02 	 -4.13543e-03 	 2.06620e-04
1.18426e+02 	 -3.76428e-03 	 2.15172e-04
1.19170e+02 	 -3.32302e-03 	 2.23062e-04
1.19919e+02 	 -2.80318e-03 	 2.29562e-04
1.20672e+02 	 -2.19551e-03 	 2.33336e-04
1.21430e+02 	 -1.49258e-03 	 2.31924e-04
1.22193e+02 	 -6.97853e-04 	 2.20861e-04
1.22961e+02 	 1.49240e-04 	 1.92628e-04
1.23734e+02 	 9.21570e-04 	 1.37285e-04
1.24511e+02 	 1.36418e-03 	 5.04471e-05
1.25293e+02 	 1.23113e-03 	 -5.08245e-05
1.26081e+02 	 5.51873e-04 	 -1.35035e-04
1.26873e+02 	 -4.04665e-04 	 -1.88583e-04
1.27670e+02 	 -1.40502e-03 	 -2.17001e-04
1.28472e+02 	 -2.34334e-03 	 -2.29640e-04
1.29279e+02 	 -3.19010e-03 	 -2.33307e-04
1.30092e+02 	 -3.94507e-03 	 -2.32023e-04
1.30909e+02 	 -4.61620e-03 	 -2.28024e-04
1.31731e+02 	 -5.21243e-03 	 -2.22541e-04
1.32559e+02 	 -5.74173e-03 	 -2.16266e-04
1.33392e+02 	 -6.21087e-03 	 -2.09598e-04
1.34230e+02 	 -6.62558e-03 	 -2.02772e-04
1.35074e+02 	 -6.99080e-03 	 -1.95931e-04
1.35922e+02 	 -7.31083e-03 	 -1.89162e-04
1.36776e+02 	 -7.58950e-03 	 -1.82521e-04
1.37636e+02 	 -7.83024e-03 	 -1.76043e-04
1.38500e+02 	 -8.03619e-03 	 -1.69747e-04
1.39371e+02 	 -8.21018e-03 	 -1.63646e-04
1.40246e+02 	 -8.35485e-03 	 -1.57747e-04
1.41128e+02 	 -8.47260e-03 	 -1.52051e-04
1.42014e+02 	 -8.56567e-03 	 -1.46558e-04
1.42907e+02 	 -8.63614e-03 	 -1.41265e-04
1.43805e+02 	 -8.68592e-03 	 -1.36169e-04
1.44708e+02 	 -8.71679e-03 	 -1.31265e-04
1.45617e+02 	 -8.73041e-03 	 -1.26548e-04
1.46532e+02 	 -8.72831e-03 	 -1.22012e-04
1.47453e+02 	 -8.71192e-03 	 -1.17652e-04
1.48379e+02 	 -8.68256e-03 	 -1.13461e-04
1.49312e+02 	 -8.64147e-03 	 -1.09434e-04
1.50250e+02 	 -8.58979e-03 	 -1.05563e-04
1.51194e+02 	 -8.52857e-03 	 -1.01845e-04
1.52144e+02 	 -8.45881e-03 	 -9.82723e-05
1.53100e+02 	 -8.38140e-03 	 -9.48397e-05
1.54062e+02 	 -8.29719e-03 	 -9.15416e-05
1.55030e+02 	 -8.20695e-03 	 -8.83728e-05
1.56004e+02 	 -8.11142e-03 	 -8.53280e-05
1.56984e+02 	 -8.01124e-03 	 -8.24021e-05
1.57970e+02 	 -7.90704e-03 	 -7.95904e-05
1.58963e+02 	 -7.79937e-03 	 -7.68882e-05
1.59962e+02 	 -7.68875e-03 	 -7.42909e-05
1.60967e+02 	 -7.57567e-03 	 -7.17942e-05
1.61978e+02 	 -7.46055e-03 	 -6.93940e-05
1.62996e+02 	 -7.34380e-03 	 -6.70863e-05
1.64020e+02 	 -7.22579e-03 	 -6.48672e-05
1.65051e+02 	 -7.10684e-03 	 -6.27330e-05
1.66088e+02 	 -6.98726e-03 	 -6.06802e-05
1.67131e+02 	 -6.86734e-03 	 -5.87054e-05
1.68181e+02 	 -6.74732e-03 	 -5.68054e-05
1.69238e+02 	 -6.62743e-03 	 -5.49771e-05
1.70301e+02 	 -6.50788e-03 	 -5.32174e-05
1.71371e+02 	 -6.38885e-03 	 -5.15236e-05
1.72448e+02 	 -6.27051e-03 	 -4.98929e-05
1.73532e+02 	 -6.15300e-03 	 -4.83227e-05
1.74622e+02 	 -6.03647e-03 	 -4.68105e-05
1.75719e+02 	 -5.92104e-03 	 -4.53539e-05
1.76823e+02 	 -5.80679e-03 	 -4.39506e-05
1.77934e+02 	 -5.69384e-03 	 -4.25985e-05
1.79052e+02 	 -5.58226e-03 	 -4.12954e-05
1.80177e+02 	 -5.47211e-03 	 -4.00394e-05
1.81309e+02 	 -5.36346e-03 	 -3.88285e-05
1.82449e+02 	 -5.25637e-03 	 -3.76609e-05
1.83595e+02 	 -5.15086e-03 	 -3.65348e-05
1.84749e+02 	 -5.04699e-03 	 -3.54487e-05
1.85909e+02 	 -4.94477e-03 	 -3.44008e-05
1.87078e+02 	 -4.84424e-03 	 -3.33896e-05
1.88253e+02 	 -4.74540e-03 	 -3.24138e-05
1.89436e+02 	 -4.64826e-03 	 -3.14718e-05
1.90626e+02 	 -4.55285e-03 	 -3.05624e-05
1.91824e+02 	 -4.45915e-03 	 -2.96842e-05
1.93029e+02 	 -4.36717e-03 	 -2.88361e-05
1.94242e+02 	 -4.27690e-03 	 -2.80168e-05
1.95462e+02 	 -4.18834e-03 	 -2.72252e-05
1.96690e+02 	 -4.10148e-03 	 -2.64603e-05
1.97926e+02 	 -4.01630e-03 	 -2.57211e-05
1.99170e+02 	 -3.93279e-03 	 -2.50064e-05
2.00421e+02 	 -3.85093e-03 	 -2.43155e-05
2.01681e+02 	 -3.77070e-03 	 -2.36474e-05
2.02948e+02 	 -3.69209e-03 	 -2.30012e-05
2.04223e+02 	 -3.61508e-03 	 -2.23762e-05
2.05506e+02 	 -3.53963e-03 	 -2.17714e-05
2.06797e+02 	 -3.46574e-03 	 -2.11862e-05
2.08097e+02 	 -3.39337e-03 	 -2.06199e-05
2.09404e+02 	 -3.32250e-03 	 -2.00716e-05
2.10720e+02 	 -3.25311e-03 	 -1.95409e-05
2.12044e+02 	 -3.18517e-03 	 -1.90269e-05
2.13376e+02 	 -3.11866e-03 	 -1.85292e-05
2.14717e+02 	 -3.05355e-03 	 -1.80471e-05
2.16066e+02 	 -2.98981e-03 	 -1.75800e-05
2.17424e+02 	 -2.92742e-03 	 -1.71275e-05
2.18790e+02 	 -2.86636e-03 	 -1.66890e-05
2.20164e+02 	 -2.80659e-03 	 -1.62639e-05
2.21548e+02 	 -2.74810e-03 	 -1.58519e-05
2.22940e+02 	 -2.69085e-03 	 -1.54525e-05
2.24341e+02 	 -2.63482e-03 	 -1.50651e-05
2.25750e+02 	 -2.57999e-03 	 -1.46895e-05
2.27169e+02 	 -2.52634e-03 	 -1.43251e-05
2.28596e+02 	 -2.47383e-03 	 -1.39717e-05
2.30032e+02 	 -2.42244e-03 	 -1.36287e-05
2.31478e+02 	 -2.37215e-03 	 -1.32960e-05
2.32932e+02 	 -2.32293e-03 	 -1.29730e-05
2.34396e+02 	 -2.27477e-03 	 -1.26596e-05
2.35868e+02 	 -2.22764e-03 	 -1.23553e-05
2.37350e+02 	 -2.18152e-03 	 -1.20598e-05
2.38842e+02 	 -2.13638e-03 	 -1.17729e-05
2.40342e+02 	 -2.09221e-03 	 -1.14943e-05
2.41852e+02 	 -2.04897e-03 	 -1.12237e-05
2.43372e+02 	 -2.00667e-03 	 -1.09609e-05
2.44901e+02 	 -1.96526e-03 	 -1.07055e-05
2.46440e+02 	 -1.92473e-03 	 -1.04573e-05
2.47988e+02 	 -1.88507e-03 	 -1.02162e-05
2.49547e+02 	 -1.84625e-03 	 -9.98181e-06
2.51114e+02 	 -1.80825e-03 	 -9.75400e-06
2.52692e+02 	 -1.77106e-03 	 -9.53253e-06
2.54280e+02 	 -1.73466e-03 	 -9.31721e-06
2.55878e+02 	 -1.69903e-03 	 -9.10784e-06
2.57485e+02 	 -1.66416e-03 	 -8.90422e-06
2.59103e+02 	 -1.63002e-03 	 -8.70619e-06
2.60731e+02 	 -1.59660e-03 	 -8.51355e-06
2.62369e+02 	 -1.56388e-03 	 -8.32615e-06
2.64018e+02 	 -1.53185e-03 	 -8.14382e-06
2.65677e+02 	 -1.50050e-03 	 -7.96640e-06
2.67346e+02 	 -1.46981e-03 	 -7.79374e-06
2.69026e+02 	 -1.43975e-03 	 -7.62570e-06
2.70716e+02 	 -1.41033e-03 	 -7.46213e-06
2.72417e+02 	 -1.38153e-03 	 -7.30289e-06
2.74129e+02 	 -1.35332e-03 	 -7.14786e-06
2.75851e+02 	 -1.32571e-03 	 -6.99690e-06
2.77584e+02 	 -1.29867e-03 	 -6.84990e-06
2.79329e+02 	 -1.27219e-03 	 -6.70673e-06
2.81084e+02 	 -1.24626e-03 	 -6.56728e-06
2.82850e+02 	 -1.22087e-03 	 -6.43143e-06
2.84627e+02 	 -1.19601e-03 	 -6.29909e-06
2.86415e+02 	 -1.17166e-03 	 -6.17014e-06
2.88215e+02 	 -1.14782e-03 	 -6.04448e-06
2.90026e+02 	 -1.12447e-03 	 -5.92202e-06
2.91848e+02 	 -1.10160e-03 	 -5.80267e-06
2.93682e+02 	 -1.07920e-03 	 -5.68633e-06
2.95527e+02 	 -1.05726e-03 	 -5.57291e-06
2.97384e+02 	 -1.03577e-03 	 -5.46233e-06
2.99252e+02 	 -1.01472e-03 	 -5.35451e-06
3.01133e+02 	 -9.94109e-04 	 -5.24937e-06
3.03025e+02 	 -9.73916e-04 	 -5.14682e-06
3.04929e+02 	 -9.54135e-04 	 -5.04680e-06
